level,unit_id,unit_name,zone,terminal,ym,incidents_total,incidents_high_critical,injuries,spills,near_miss,security_events,equipment_failures,avg_close_days
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-05,2,0,1,0,0,0,0,5.5
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-05,1,1,0,0,0,0,0,1.8
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-05,1,0,0,0,0,0,1,3.5
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-05,1,0,0,0,0,0,0,
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-05,1,0,0,1,0,0,0,4.2
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-05,1,0,0,0,1,0,0,4.5
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-05,1,0,0,0,0,0,0,5.5
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2023-05,1,0,1,0,0,0,0,5.6
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-05,1,1,0,0,0,0,0,1.8
port,REFPT,Reference Port,,,2023-06,5,2,1,0,0,0,0,3.4
zone,CONTAINER,Container,Container,,2023-06,4,2,1,0,0,0,0,3.6
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-06,1,0,0,0,0,0,0,2.4
terminal,CT1,Container Terminal 1,Container,CT1,2023-06,1,0,0,0,0,0,0,4.5
terminal,CT2,Container Terminal 2,Container,CT2,2023-06,2,2,0,0,0,0,0,3.1
terminal,CT5,Container Terminal 5,Container,CT5,2023-06,1,0,1,0,0,0,0,3.8
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-06,1,0,0,0,0,0,0,2.4
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-06,1,0,0,0,0,0,0,4.5
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-06,1,1,0,0,0,0,0,2.3
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-06,1,1,0,0,0,0,0,3.9
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-06,1,0,1,0,0,0,0,3.8
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-06,1,0,0,0,0,0,0,2.4
port,REFPT,Reference Port,,,2023-07,4,1,0,0,2,0,0,3.4
zone,CONTAINER,Container,Container,,2023-07,1,0,0,0,1,0,0,2.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-07,3,1,0,0,1,0,0,3.9
terminal,CT3,Container Terminal 3,Container,CT3,2023-07,1,0,0,0,1,0,0,2.1
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-07,2,0,0,0,1,0,0,4.3
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-07,1,1,0,0,0,0,0,3.0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-07,1,0,0,0,1,0,0,2.1
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-07,2,0,0,0,1,0,0,4.3
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-07,1,1,0,0,0,0,0,3.0
port,REFPT,Reference Port,,,2023-08,6,1,0,0,3,0,0,3.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-08,2,1,0,0,1,0,0,2.4
zone,CONTAINER,Container,Container,,2023-08,3,0,0,0,2,0,0,4.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-08,1,0,0,0,0,0,0,3.0
terminal,CT2,Container Terminal 2,Container,CT2,2023-08,1,0,0,0,1,0,0,3.9
terminal,CT5,Container Terminal 5,Container,CT5,2023-08,2,0,0,0,1,0,0,5.4
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-08,1,0,0,0,0,0,0,3.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-08,2,1,0,0,1,0,0,2.4
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-08,1,0,0,0,1,0,0,3.9
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-08,1,0,0,0,0,0,0,4.7
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-08,1,0,0,0,1,0,0,6.0
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2023-08,1,0,0,0,0,0,0,3.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-08,1,0,0,0,1,0,0,1.9
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-08,1,1,0,0,0,0,0,3.0
port,REFPT,Reference Port,,,2023-09,6,0,0,1,0,0,2,4.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-09,1,0,0,0,0,0,0,6.0
zone,CONTAINER,Container,Container,,2023-09,3,0,0,1,0,0,1,3.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-09,2,0,0,0,0,0,1,4.9
terminal,CT3,Container Terminal 3,Container,CT3,2023-09,1,0,0,1,0,0,0,4.2
terminal,CT4,Container Terminal 4,Container,CT4,2023-09,1,0,0,0,0,0,1,3.8
terminal,CT5,Container Terminal 5,Container,CT5,2023-09,1,0,0,0,0,0,0,3.3
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-09,1,0,0,0,0,0,0,4.8
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-09,1,0,0,0,0,0,0,6.0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-09,1,0,0,0,0,0,1,5.0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-09,1,0,0,1,0,0,0,4.2
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-09,1,0,0,0,0,0,1,3.8
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-09,1,0,0,0,0,0,0,3.3
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-09,1,0,0,0,0,0,0,4.8
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-09,1,0,0,0,0,0,0,6.0
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2023-09,1,0,0,0,0,0,1,5.0
port,REFPT,Reference Port,,,2023-10,4,2,1,0,0,0,0,3.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-10,1,1,1,0,0,0,0,3.0
zone,CONTAINER,Container,Container,,2023-10,3,1,0,0,0,0,0,3.1
terminal,CT3,Container Terminal 3,Container,CT3,2023-10,2,0,0,0,0,0,0,3.1
terminal,CT4,Container Terminal 4,Container,CT4,2023-10,1,1,0,0,0,0,0,
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-10,1,1,1,0,0,0,0,3.0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-10,1,0,0,0,0,0,0,3.8
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-10,1,0,0,0,0,0,0,2.4
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-10,1,1,0,0,0,0,0,
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-10,1,1,1,0,0,0,0,3.0
port,REFPT,Reference Port,,,2023-11,6,1,0,0,1,0,0,3.4
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-11,2,0,0,0,0,0,0,3.3
zone,CONTAINER,Container,Container,,2023-11,3,1,0,0,1,0,0,3.7
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-11,1,0,0,0,0,0,0,2.7
terminal,CT2,Container Terminal 2,Container,CT2,2023-11,1,0,0,0,1,0,0,3.7
terminal,CT4,Container Terminal 4,Container,CT4,2023-11,2,1,0,0,0,0,0,3.7
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-11,1,0,0,0,0,0,0,3.0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-11,1,0,0,0,0,0,0,3.6
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-11,1,0,0,0,0,0,0,2.7
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-11,1,0,0,0,1,0,0,3.7
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-11,1,0,0,0,0,0,0,3.7
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-11,1,1,0,0,0,0,0,3.8
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-11,1,0,0,0,0,0,0,3.0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-11,1,0,0,0,0,0,0,3.6
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-11,1,0,0,0,0,0,0,2.7
port,REFPT,Reference Port,,,2023-12,5,1,2,0,0,0,1,4.0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-12,1,1,1,0,0,0,0,4.1
zone,CONTAINER,Container,Container,,2023-12,3,0,0,0,0,0,1,3.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-12,1,0,1,0,0,0,0,4.5
terminal,CT3,Container Terminal 3,Container,CT3,2023-12,2,0,0,0,0,0,1,3.8
terminal,CT4,Container Terminal 4,Container,CT4,2023-12,1,0,0,0,0,0,0,
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-12,1,0,1,0,0,0,0,4.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-12,1,1,1,0,0,0,0,4.1
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-12,2,0,0,0,0,0,1,3.8
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-12,1,0,0,0,0,0,0,
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-12,1,0,1,0,0,0,0,4.5
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-12,1,1,1,0,0,0,0,4.1
port,REFPT,Reference Port,,,2024-01,6,2,2,0,0,0,2,3.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-01,1,1,0,0,0,0,0,3.4
zone,CONTAINER,Container,Container,,2024-01,5,1,2,0,0,0,2,4.0
terminal,CT1,Container Terminal 1,Container,CT1,2024-01,2,1,1,0,0,0,0,3.5
terminal,CT2,Container Terminal 2,Container,CT2,2024-01,2,0,1,0,0,0,1,4.6
terminal,CT5,Container Terminal 5,Container,CT5,2024-01,1,0,0,0,0,0,1,3.6
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-01,1,1,0,0,0,0,0,3.4
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2024-01,1,0,0,0,0,0,0,2.6
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2024-01,1,1,1,0,0,0,0,4.5
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2024-01,1,0,1,0,0,0,0,5.6
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2024-01,1,0,0,0,0,0,1,3.6
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2024-01,1,0,0,0,0,0,1,3.6
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-01,1,1,0,0,0,0,0,3.4
port,REFPT,Reference Port,,,2024-02,5,1,0,0,2,0,1,3.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-02,1,0,0,0,0,0,0,2.1
zone,CONTAINER,Container,Container,,2024-02,2,1,0,0,1,0,1,3.4
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-02,2,0,0,0,1,0,0,4.2
terminal,CT4,Container Terminal 4,Container,CT4,2024-02,1,0,0,0,1,0,0,3.5
terminal,CT5,Container Terminal 5,Container,CT5,2024-02,1,1,0,0,0,0,1,3.3
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2024-02,2,0,0,0,1,0,0,4.2
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-02,1,0,0,0,0,0,0,2.1
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2024-02,1,0,0,0,1,0,0,3.5
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2024-02,1,1,0,0,0,0,1,3.3
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2024-02,1,0,0,0,1,0,0,3.3
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-02,1,0,0,0,0,0,0,5.1
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-02,1,0,0,0,0,0,0,2.1
port,REFPT,Reference Port,,,2024-03,9,1,1,1,2,0,1,4.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-03,3,1,1,1,0,0,0,4.3
zone,CONTAINER,Container,Container,,2024-03,4,0,0,0,1,0,1,3.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-03,2,0,0,0,1,0,0,5.2
terminal,CT2,Container Terminal 2,Container,CT2,2024-03,1,0,0,0,0,0,0,1.7
terminal,CT3,Container Terminal 3,Container,CT3,2024-03,2,0,0,0,0,0,1,4.3
terminal,CT4,Container Terminal 4,Container,CT4,2024-03,1,0,0,0,1,0,0,3.8
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2024-03,2,0,0,0,1,0,0,5.2
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-03,1,0,0,1,0,0,0,3.8
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-03,2,1,1,0,0,0,0,4.6
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2024-03,1,0,0,0,0,0,0,1.7
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2024-03,2,0,0,0,0,0,1,4.3
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2024-03,1,0,0,0,1,0,0,3.8
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-03,2,0,0,0,1,0,0,5.2
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2024-03,1,0,0,1,0,0,0,3.8
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2024-03,1,0,0,0,0,0,0,5.3
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-03,1,1,1,0,0,0,0,3.9
port,REFPT,Reference Port,,,2024-04,11,2,4,0,1,0,0,3.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-04,4,0,1,0,1,0,0,3.4
zone,CONTAINER,Container,Container,,2024-04,3,2,2,0,0,0,0,4.0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-04,4,0,1,0,0,0,0,4.2
terminal,CT1,Container Terminal 1,Container,CT1,2024-04,1,1,0,0,0,0,0,3.2
terminal,CT4,Container Terminal 4,Container,CT4,2024-04,1,0,1,0,0,0,0,5.5
terminal,CT5,Container Terminal 5,Container,CT5,2024-04,1,1,1,0,0,0,0,3.3
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-04,2,0,0,0,1,0,0,4.4
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2024-04,1,0,1,0,0,0,0,3.5
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2024-04,4,0,1,0,0,0,0,4.2
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-04,1,0,0,0,0,0,0,2.2
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2024-04,1,1,0,0,0,0,0,3.2
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2024-04,1,0,1,0,0,0,0,5.5
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2024-04,1,1,1,0,0,0,0,3.3
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-04,1,0,0,0,0,0,0,
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-04,1,0,0,0,1,0,0,4.4
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2024-04,1,0,1,0,0,0,0,3.5
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-04,3,0,1,0,0,0,0,4.7
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2024-04,1,0,0,0,0,0,0,2.7
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-04,1,0,0,0,0,0,0,2.2
port,REFPT,Reference Port,,,2024-05,8,5,0,1,1,0,1,3.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-05,3,2,0,1,1,0,0,2.9
zone,CONTAINER,Container,Container,,2024-05,4,2,0,0,0,0,1,3.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-05,1,1,0,0,0,0,0,3.5
terminal,CT2,Container Terminal 2,Container,CT2,2024-05,1,0,0,0,0,0,0,5.2
terminal,CT3,Container Terminal 3,Container,CT3,2024-05,1,1,0,0,0,0,1,5.0
terminal,CT4,Container Terminal 4,Container,CT4,2024-05,1,1,0,0,0,0,0,1.4
terminal,CT5,Container Terminal 5,Container,CT5,2024-05,1,0,0,0,0,0,0,3.9
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-05,1,0,0,0,1,0,0,
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2024-05,1,1,0,0,0,0,0,3.5
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-05,2,2,0,1,0,0,0,2.9
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2024-05,1,0,0,0,0,0,0,5.2
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2024-05,1,1,0,0,0,0,1,5.0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2024-05,1,1,0,0,0,0,0,1.4
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2024-05,1,0,0,0,0,0,0,3.9
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2024-05,1,0,0,0,1,0,0,
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2024-05,1,1,0,0,0,0,0,3.5
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2024-05,2,2,0,1,0,0,0,2.9
port,REFPT,Reference Port,,,2024-06,9,2,1,1,3,0,0,3.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2024-06,3,1,0,1,1,0,0,4.9
zone,CONTAINER,Container,Container,,2024-06,3,0,1,0,1,0,0,2.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2024-06,3,1,0,0,1,0,0,2.9
terminal,CT3,Container Terminal 3,Container,CT3,2024-06,2,0,1,0,0,0,0,2.2
terminal,CT4,Container Terminal 4,Container,CT4,2024-06,1,0,0,0,1,0,0,2.0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2024-06,2,0,0,0,1,0,0,2.7
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2024-06,2,0,0,0,1,0,0,5.0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2024-06,1,1,0,0,0,0,0,3.3
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2024-06,1,1,0,1,0,0,0,4.9
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2024-06,1,0,1,0,0,0,0,
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2024-06,1,0,0,0,0,0,0,2.2
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2024-06,1,0,0,0,1,0,0,2.0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2024-06,1,0,0,0,0,0,0,3.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2024-06,1,0,0,0,1,0,0,1.5
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2024-06,1,0,0,0,1,0,0,5.0
