level,unit_id,unit_name,zone,terminal,ym,pilotage_moves,tug_jobs,water_supplied_mt,garbage_calls,inspections_done,findings_raised,findings_closed,detentions
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-03,4,8,0,1,1,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-03,2,4,88,1,0,0,0,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-03,4,8,63,2,1,0,0,0
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-03,2,4,134,1,0,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-03,2,4,133,0,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-03,2,4,68,0,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-03,2,4,93,0,0,0,0,0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-03,4,8,130,1,0,0,0,0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-03,8,16,0,2,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-03,2,4,141,0,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-03,2,4,100,1,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-03,2,4,0,1,0,0,0,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-03,2,4,70,0,0,0,0,0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-03,4,8,0,1,1,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-03,2,4,88,1,0,0,0,0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-03,4,8,63,2,1,0,0,0
port,REFPT,Reference Port,,,2023-04,48,96,1512,17,3,0,0,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-04,10,20,340,3,0,0,0,0
zone,CONTAINER,Container,Container,,2023-04,28,56,809,11,3,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-04,10,20,363,3,0,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-04,4,8,240,1,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-04,4,8,109,1,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-04,8,16,257,3,1,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-04,6,12,203,3,1,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-04,6,12,0,3,1,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-04,8,16,363,2,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-04,8,16,340,3,0,0,0,0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-04,2,4,0,0,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-04,2,4,0,1,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-04,4,8,240,1,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-04,4,8,109,1,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-04,2,4,0,0,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-04,6,12,257,3,1,0,0,0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-04,2,4,115,1,0,0,0,0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-04,2,4,88,1,1,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-04,2,4,0,1,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-04,2,4,0,1,0,0,0,0
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-04,4,8,0,2,1,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-04,4,8,233,1,0,0,0,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-04,2,4,46,0,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-04,2,4,84,1,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-04,2,4,86,1,0,0,0,0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-04,6,12,254,2,0,0,0,0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-04,2,4,0,0,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-04,2,4,0,1,0,0,0,0
port,REFPT,Reference Port,,,2023-05,44,88,1323,7,2,3,2,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-05,14,28,437,2,0,0,0,0
zone,CONTAINER,Container,Container,,2023-05,26,52,886,4,1,3,2,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-05,4,8,0,1,1,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-05,6,12,45,2,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-05,6,12,335,2,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-05,6,12,437,0,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-05,6,12,69,0,1,3,2,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-05,2,4,0,0,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-05,6,12,264,0,0,0,0,0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-05,6,12,60,1,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-05,4,8,0,1,1,0,0,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-05,2,4,113,1,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-05,6,12,45,2,0,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-05,6,12,335,2,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-05,6,12,437,0,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-05,2,4,0,0,1,3,2,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-05,4,8,69,0,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-05,2,4,0,0,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-05,2,4,0,0,0,0,0,0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-05,4,8,264,0,0,0,0,0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-05,6,12,60,1,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-05,4,8,0,1,1,0,0,0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-05,2,4,113,1,0,0,0,0
port,REFPT,Reference Port,,,2023-06,34,68,608,10,2,1,1,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-06,6,12,0,1,0,0,0,0
zone,CONTAINER,Container,Container,,2023-06,20,40,353,6,1,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-06,8,16,255,3,1,1,1,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-06,2,4,0,1,1,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-06,4,8,0,1,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-06,10,20,225,3,0,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-06,4,8,128,1,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-06,6,12,200,2,1,1,1,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-06,4,8,0,1,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-06,2,4,55,1,0,0,0,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-06,2,4,0,0,0,0,0,0
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-06,2,4,0,1,1,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-06,4,8,0,1,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-06,6,12,94,2,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-06,4,8,131,1,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-06,2,4,0,1,0,0,0,0
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-06,2,4,128,0,0,0,0,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-06,2,4,128,1,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-06,4,8,72,1,1,1,1,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-06,2,4,0,1,0,0,0,0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-06,2,4,0,0,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-06,2,4,55,1,0,0,0,0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-06,2,4,0,0,0,0,0,0
port,REFPT,Reference Port,,,2023-07,48,96,614,9,3,1,1,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-07,10,20,0,4,1,0,0,0
zone,CONTAINER,Container,Container,,2023-07,28,56,523,4,1,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-07,10,20,91,1,1,1,1,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-07,4,8,0,1,1,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-07,8,16,361,2,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-07,4,8,0,0,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-07,12,24,162,1,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-07,6,12,0,1,1,1,1,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-07,10,20,0,4,1,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-07,4,8,91,0,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-07,4,8,0,1,1,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-07,2,4,0,0,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-07,6,12,361,2,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-07,2,4,0,0,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-07,2,4,0,0,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-07,4,8,42,1,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-07,8,16,120,0,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-07,2,4,0,0,1,1,1,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-07,2,4,0,0,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-07,2,4,0,1,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-07,6,12,0,3,1,0,0,0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-07,4,8,0,1,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-07,4,8,91,0,0,0,0,0
port,REFPT,Reference Port,,,2023-08,48,96,849,11,3,0,0,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-08,8,16,164,2,1,0,0,0
zone,CONTAINER,Container,Container,,2023-08,30,60,411,7,1,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-08,10,20,274,2,1,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-08,4,8,0,1,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-08,4,8,0,2,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-08,4,8,45,0,1,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-08,14,28,288,4,0,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-08,4,8,78,0,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-08,6,12,175,1,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-08,2,4,0,1,0,0,0,0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-08,2,4,0,0,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-08,4,8,99,1,1,0,0,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-08,4,8,164,1,1,0,0,0
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-08,2,4,0,1,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-08,2,4,0,0,0,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-08,2,4,0,1,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-08,2,4,0,1,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-08,2,4,0,0,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-08,2,4,45,0,1,0,0,0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-08,2,4,0,0,0,0,0,0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-08,2,4,150,1,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-08,4,8,85,1,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-08,6,12,53,2,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-08,2,4,78,0,0,0,0,0
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-08,2,4,0,0,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-08,2,4,0,0,0,0,0,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-08,2,4,62,0,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-08,2,4,113,1,0,0,0,0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-08,2,4,0,1,0,0,0,0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-08,2,4,0,0,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-08,4,8,99,1,1,0,0,0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-08,2,4,47,0,0,0,0,0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-08,2,4,117,1,1,0,0,0
port,REFPT,Reference Port,,,2023-09,44,88,1066,12,2,4,0,1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-09,10,20,62,3,1,0,0,0
zone,CONTAINER,Container,Container,,2023-09,26,52,797,8,0,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-09,8,16,207,1,1,4,0,1
terminal,CT1,Container Terminal 1,Container,CT1,2023-09,6,12,291,2,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-09,2,4,119,1,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-09,12,24,341,2,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-09,4,8,46,2,0,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-09,2,4,0,1,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-09,4,8,0,1,1,4,0,1
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-09,10,20,62,3,1,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-09,4,8,207,0,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-09,6,12,291,2,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-09,2,4,119,1,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-09,2,4,0,1,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-09,10,20,341,1,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-09,2,4,0,1,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-09,2,4,46,1,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-09,2,4,0,1,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-09,2,4,0,0,1,4,0,1
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-09,2,4,0,1,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-09,4,8,0,2,0,0,0,0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-09,4,8,62,0,1,0,0,0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-09,2,4,0,1,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-09,4,8,207,0,0,0,0,0
port,REFPT,Reference Port,,,2023-10,52,104,846,8,4,5,5,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-10,16,32,51,1,1,2,2,0
zone,CONTAINER,Container,Container,,2023-10,20,40,344,3,1,2,2,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-10,16,32,451,4,2,1,1,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-10,4,8,84,2,1,2,2,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-10,6,12,153,0,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-10,6,12,61,0,0,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-10,4,8,46,1,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-10,8,16,252,2,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-10,4,8,51,0,0,0,0,0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-10,4,8,0,1,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-10,8,16,199,2,2,1,1,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-10,8,16,0,0,1,2,2,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-10,4,8,84,2,1,2,2,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-10,4,8,153,0,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-10,2,4,0,0,0,0,0,0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-10,4,8,0,0,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-10,2,4,61,0,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-10,2,4,46,1,0,0,0,0
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-10,2,4,0,0,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-10,6,12,252,2,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-10,2,4,0,0,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-10,2,4,51,0,0,0,0,0
