level,unit_id,unit_name,zone,terminal,ym,vessel_calls,cargo_mt,teu,avg_turnaround_hr,avg_waiting_hr,calls_waited_gt24h,berthed_lt6h_pct,avg_output_mt_per_berthday,occupancy_pct
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-02,1,32753,0,84.0,9.0,0,0.0,10481,11.2
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-02,2,70999,0,107.5,17.5,0,0.0,9467,26.8
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-02,1,4253,0,44.0,19.0,0,0.0,4083,3.7
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-02,1,193163,0,60.0,11.0,0,0.0,94610,7.3
port,REFPT,Reference Port,,,2023-03,19,1720217,100791,49.7,16.1,6,15.8,64609,3.6
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-03,4,249914,0,88.2,21.0,2,0.0,22297,5.2
zone,CONTAINER,Container,Container,,2023-03,12,1209492,100791,34.9,14.1,3,25.0,116111,2.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-03,3,260811,0,57.3,17.3,1,0.0,52162,3.2
terminal,CT1,Container Terminal 1,Container,CT1,2023-03,1,126420,10535,31.0,3.0,0,100.0,108360,1.9
terminal,CT2,Container Terminal 2,Container,CT2,2023-03,2,127212,10601,33.0,18.0,1,0.0,101770,2.0
terminal,CT3,Container Terminal 3,Container,CT3,2023-03,1,142248,11854,50.0,25.0,1,0.0,136558,1.7
terminal,CT4,Container Terminal 4,Container,CT4,2023-03,8,813612,67801,34.0,13.1,1,25.0,116926,5.6
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-03,2,65827,0,63.0,19.0,1,0.0,17953,3.9
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-03,2,50261,0,92.0,27.5,2,0.0,9351,4.3
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-03,1,194984,0,46.0,14.0,0,0.0,146238,2.2
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-03,2,199653,0,84.5,14.5,0,0.0,34226,9.4
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-03,1,126420,10535,31.0,3.0,0,100.0,108360,3.8
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-03,1,59796,4983,24.0,9.0,0,0.0,95674,2.0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-03,1,67416,5618,42.0,27.0,1,0.0,107866,2.0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-03,1,142248,11854,50.0,25.0,1,0.0,136558,3.4
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-03,2,181644,15137,31.0,14.0,0,0.0,128219,4.6
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-03,4,410820,34235,36.0,13.2,1,25.0,108348,12.2
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-03,1,41280,3440,22.0,6.0,0,100.0,61920,2.2
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-03,1,179868,14989,44.0,18.0,0,0.0,166032,3.5
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-03,1,27043,0,74.0,27.0,1,0.0,13809,6.3
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-03,1,38784,0,52.0,11.0,0,0.0,22703,5.5
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-03,2,50261,0,92.0,27.5,2,0.0,9351,17.3
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-03,1,194984,0,46.0,14.0,0,0.0,146238,4.3
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-03,2,199653,0,84.5,14.5,0,0.0,34226,18.8
port,REFPT,Reference Port,,,2023-04,24,1864114,115505,52.4,16.0,5,16.7,51247,5.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-04,5,112913,0,71.0,11.2,1,20.0,9063,5.9
zone,CONTAINER,Container,Container,,2023-04,14,1386060,115505,40.6,17.3,4,21.4,102041,3.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-04,5,365141,0,67.0,17.4,0,0.0,35336,6.9
terminal,CT1,Container Terminal 1,Container,CT1,2023-04,2,207456,17288,45.0,20.0,1,0.0,99579,3.5
terminal,CT2,Container Terminal 2,Container,CT2,2023-04,2,181320,15110,40.0,14.5,0,50.0,85327,3.5
terminal,CT3,Container Terminal 3,Container,CT3,2023-04,4,514020,42835,42.0,18.8,2,25.0,132650,6.5
terminal,CT4,Container Terminal 4,Container,CT4,2023-04,3,252192,21016,42.7,19.3,1,0.0,86466,2.4
terminal,CT5,Container Terminal 5,Container,CT5,2023-04,3,231072,19256,34.0,13.3,0,33.3,89447,4.3
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-04,4,129848,0,68.0,19.2,0,0.0,15981,9.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-04,4,108015,0,80.0,11.5,1,25.0,9461,9.5
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-04,1,4898,0,35.0,10.0,0,0.0,4702,3.5
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-04,1,235293,0,63.0,10.0,0,0.0,106548,3.7
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-04,2,207456,17288,45.0,20.0,1,0.0,99579,6.9
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-04,2,181320,15110,40.0,14.5,0,50.0,85327,7.1
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-04,1,87156,7263,58.0,30.0,1,0.0,74705,3.9
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-04,3,426864,35572,36.7,15.0,1,33.3,157611,9.0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-04,1,101304,8442,56.0,26.0,1,0.0,81043,4.2
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-04,1,104028,8669,36.0,15.0,0,0.0,118889,2.9
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-04,1,46860,3905,36.0,17.0,0,0.0,59192,2.6
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-04,1,76584,6382,32.0,13.0,0,0.0,96738,2.6
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-04,2,154488,12874,35.0,13.5,0,50.0,86226,6.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-04,2,66899,0,63.0,18.0,0,0.0,17840,12.5
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-04,1,44877,0,78.0,24.0,0,0.0,19945,7.5
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-04,1,18072,0,68.0,17.0,0,0.0,8504,7.1
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-04,1,52368,0,80.0,7.0,0,0.0,17217,10.1
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-04,3,55647,0,80.0,13.0,1,33.3,6644,27.9
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-04,1,4898,0,35.0,10.0,0,0.0,4702,3.5
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-04,1,235293,0,63.0,10.0,0,0.0,106548,7.4
port,REFPT,Reference Port,,,2023-05,22,2080246,109592,52.6,15.3,2,13.6,60811,4.6
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-05,7,289805,0,77.7,15.3,0,0.0,15916,8.4
zone,CONTAINER,Container,Container,,2023-05,13,1315104,109592,36.8,14.4,1,23.1,108091,3.3
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-05,2,475337,0,67.0,21.0,1,0.0,124001,2.5
terminal,CT1,Container Terminal 1,Container,CT1,2023-05,3,309552,25796,37.7,14.7,0,0.0,107670,4.6
terminal,CT2,Container Terminal 2,Container,CT2,2023-05,3,322416,26868,27.0,6.0,0,66.7,122825,4.2
terminal,CT3,Container Terminal 3,Container,CT3,2023-05,3,360636,30053,44.3,21.0,1,0.0,123647,4.7
terminal,CT4,Container Terminal 4,Container,CT4,2023-05,3,261252,21771,42.0,19.3,0,0.0,92207,2.3
terminal,CT5,Container Terminal 5,Container,CT5,2023-05,1,61248,5104,26.0,4.0,0,100.0,66816,1.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-05,3,129642,0,113.3,17.3,0,0.0,10804,9.7
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-05,3,15379,0,33.7,10.7,0,0.0,5349,9.3
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-05,2,475337,0,67.0,21.0,1,0.0,124001,6.2
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-05,1,144784,0,103.0,23.0,0,0.0,43435,5.4
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-05,3,309552,25796,37.7,14.7,0,0.0,107670,9.3
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-05,3,322416,26868,27.0,6.0,0,66.7,122825,8.5
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-05,3,360636,30053,44.3,21.0,1,0.0,123647,9.4
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-05,1,133836,11153,42.0,20.0,0,0.0,146003,3.0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-05,2,127416,10618,42.0,19.0,0,0.0,66478,6.2
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-05,1,61248,5104,26.0,4.0,0,100.0,66816,3.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-05,1,35663,0,111.0,19.0,0,0.0,9303,12.4
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-05,2,93979,0,114.5,16.5,0,0.0,11508,26.3
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-05,3,15379,0,33.7,10.7,0,0.0,5349,9.3
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-05,2,475337,0,67.0,21.0,1,0.0,124001,12.4
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-05,1,144784,0,103.0,23.0,0,0.0,43435,10.8
port,REFPT,Reference Port,,,2023-06,17,1245083,60863,55.2,17.4,4,17.6,46401,3.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-06,3,201130,0,117.0,25.7,2,0.0,17617,5.4
zone,CONTAINER,Container,Container,,2023-06,10,730356,60863,39.5,17.5,2,20.0,79675,2.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-06,4,313597,0,48.2,10.8,0,25.0,50176,4.2
terminal,CT1,Container Terminal 1,Container,CT1,2023-06,1,69576,5798,28.0,10.0,0,0.0,92768,1.2
terminal,CT2,Container Terminal 2,Container,CT2,2023-06,2,115344,9612,50.0,29.0,2,0.0,65911,2.9
terminal,CT3,Container Terminal 3,Container,CT3,2023-06,5,409704,34142,37.0,14.6,0,40.0,87794,7.8
terminal,CT5,Container Terminal 5,Container,CT5,2023-06,2,135732,11311,41.0,17.0,0,0.0,67866,3.3
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-06,3,83803,0,49.0,13.0,0,0.0,18623,5.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-06,2,79293,0,113.5,29.0,2,0.0,11261,5.9
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-06,1,229794,0,46.0,4.0,0,100.0,131311,2.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-06,1,121837,0,124.0,19.0,0,0.0,27848,7.3
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-06,1,69576,5798,28.0,10.0,0,0.0,92768,2.5
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-06,2,115344,9612,50.0,29.0,2,0.0,65911,5.8
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-06,3,183108,15259,36.3,16.0,0,33.3,72042,8.5
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-06,2,226596,18883,38.0,12.5,0,50.0,106633,7.1
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-06,1,51708,4309,49.0,23.0,0,0.0,47730,3.6
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-06,1,84024,7002,33.0,11.0,0,0.0,91663,3.1
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-06,1,25745,0,54.0,10.0,0,0.0,14043,6.1
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-06,2,58058,0,46.5,14.5,0,0.0,21772,8.9
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-06,1,47060,0,104.0,30.0,1,0.0,15263,10.3
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-06,1,32233,0,123.0,28.0,1,0.0,8143,13.2
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-06,1,229794,0,46.0,4.0,0,100.0,131311,5.8
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-06,1,121837,0,124.0,19.0,0,0.0,27848,14.6
port,REFPT,Reference Port,,,2023-07,24,1689582,87721,57.1,18.1,8,16.7,43323,5.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-07,5,122553,0,102.8,17.2,1,0.0,6872,8.2
zone,CONTAINER,Container,Container,,2023-07,14,1052652,87721,39.6,18.0,5,21.4,83654,3.4
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-07,5,514377,0,60.6,19.4,2,20.0,59927,5.5
terminal,CT1,Container Terminal 1,Container,CT1,2023-07,2,219612,18301,36.5,16.0,1,50.0,128553,2.8
terminal,CT2,Container Terminal 2,Container,CT2,2023-07,4,280572,23381,40.5,14.0,1,50.0,63526,7.1
terminal,CT3,Container Terminal 3,Container,CT3,2023-07,2,139824,11652,31.5,15.0,0,0.0,101690,2.2
terminal,CT4,Container Terminal 4,Container,CT4,2023-07,6,412644,34387,42.7,22.3,3,0.0,81176,4.1
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-07,3,99223,0,61.7,23.0,1,0.0,20529,5.2
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-07,5,122553,0,102.8,17.2,1,0.0,6872,14.4
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-07,2,415154,0,59.0,14.0,1,50.0,110708,6.0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-07,2,219612,18301,36.5,16.0,1,50.0,128553,5.5
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-07,1,46092,3841,33.0,6.0,0,100.0,40971,3.6
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-07,3,234480,19540,43.0,16.7,1,33.3,71234,10.6
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-07,1,108828,9069,26.0,12.0,0,0.0,186562,1.9
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-07,1,30996,2583,37.0,18.0,0,0.0,39153,2.6
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-07,2,129744,10812,47.0,25.0,1,0.0,70769,5.9
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-07,4,282900,23575,40.5,21.0,2,0.0,87046,10.5
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-07,1,30243,0,53.0,24.0,0,0.0,25029,3.9
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-07,1,29136,0,63.0,25.0,1,0.0,18402,5.1
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-07,1,39844,0,69.0,20.0,0,0.0,19515,6.6
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-07,3,92972,0,105.7,16.7,1,0.0,8357,35.9
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-07,2,29581,0,98.5,18.0,0,0.0,4410,21.6
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-07,2,415154,0,59.0,14.0,1,50.0,110708,12.1
port,REFPT,Reference Port,,,2023-08,24,2204515,110223,51.3,17.4,7,4.2,64998,4.6
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-08,4,290965,0,77.2,13.8,0,0.0,27493,4.9
zone,CONTAINER,Container,Container,,2023-08,15,1322676,110223,39.2,15.9,3,6.7,90698,3.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-08,5,590874,0,67.0,25.0,4,0.0,67528,5.6
terminal,CT1,Container Terminal 1,Container,CT1,2023-08,2,194748,16229,41.5,18.0,1,0.0,99446,3.2
terminal,CT2,Container Terminal 2,Container,CT2,2023-08,2,146976,12248,47.0,23.5,1,0.0,75052,3.2
terminal,CT3,Container Terminal 3,Container,CT3,2023-08,2,192720,16060,29.5,6.5,0,50.0,100550,3.1
terminal,CT4,Container Terminal 4,Container,CT4,2023-08,7,687360,57280,41.7,18.3,1,0.0,100589,5.5
terminal,CT5,Container Terminal 5,Container,CT5,2023-08,2,100872,8406,30.0,7.0,0,0.0,52629,3.1
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-08,3,113147,0,67.7,29.7,3,0.0,23820,5.1
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-08,1,13005,0,104.0,7.0,0,0.0,3218,3.3
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-08,1,4973,0,43.0,23.0,0,0.0,5968,2.7
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-08,2,477727,0,66.0,18.0,1,0.0,119432,6.5
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-08,2,272987,0,81.0,12.5,0,0.0,47823,9.2
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-08,1,92532,7711,27.0,10.0,0,0.0,130633,2.3
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-08,1,102216,8518,56.0,26.0,1,0.0,81773,4.0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-08,1,72936,6078,50.0,22.0,0,0.0,62517,3.8
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-08,1,74040,6170,44.0,25.0,1,0.0,93524,2.6
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-08,1,119400,9950,30.0,7.0,0,0.0,124591,3.1
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-08,1,73320,6110,29.0,6.0,0,100.0,76508,3.1
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-08,1,85392,7116,37.0,19.0,0,0.0,113856,2.4
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-08,1,159276,13273,52.0,29.0,1,0.0,166201,3.1
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-08,2,213840,17820,43.0,19.0,0,0.0,106920,6.5
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-08,3,228852,19071,39.0,14.0,0,0.0,73233,10.1
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-08,1,41520,3460,35.0,7.0,0,0.0,35589,3.8
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-08,1,59352,4946,25.0,7.0,0,0.0,79136,2.4
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-08,1,34816,0,77.0,30.0,1,0.0,17778,6.3
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-08,1,28109,0,62.0,30.0,1,0.0,21082,4.3
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-08,1,50222,0,64.0,29.0,1,0.0,34438,4.7
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-08,1,13005,0,104.0,7.0,0,0.0,3218,13.0
