level,unit_id,unit_name,zone,terminal,ym,invoices_issued,billed_cr,collected_cr,outstanding_cr,collection_pct
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-02,0,0.0,0.6,0.0,100.0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-02,2,1.11,0.0,1.11,0.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-02,0,0.0,2.49,0.0,100.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-02,1,2.23,0.93,2.23,29.4
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-02,2,2.83,0.0,2.83,0.0
port,INMUN,Mundra Port,,,2023-03,14,13.68,20.18,5.95,84.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-03,4,4.45,10.37,0.78,94.8
zone,CONTAINER,Container,Container,,2023-03,7,7.56,8.21,4.67,70.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-03,3,1.67,1.6,0.49,92.4
terminal,AMC2,AMCT-2,Container,AMC2,2023-03,1,1.24,2.94,1.24,70.3
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-03,2,2.3,2.05,0.94,76.8
terminal,CT3,CT-3 (AICT),Container,CT3,2023-03,3,2.49,0.0,2.49,20.2
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-03,1,1.53,2.5,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-03,3,1.67,1.6,0.5,87.3
terminal,MICT,MICT (DP World JV),Container,MICT,2023-03,0,0.0,0.73,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-03,3,2.02,1.76,0.79,85.7
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-03,0,0.0,1.11,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-03,1,2.43,7.49,0.0,100.0
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-03,0,0.0,1.84,0.0,100.0
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-03,1,1.24,1.1,1.24,47.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-03,1,1.36,2.05,0.0,100.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-03,1,0.94,0.0,0.94,53.0
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2023-03,1,0.92,0.0,0.92,40.6
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2023-03,2,1.57,0.0,1.57,0.0
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-03,1,1.53,1.53,0.0,100.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-03,0,0.0,0.97,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-03,1,0.61,1.05,0.0,100.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-03,2,1.06,0.56,0.5,71.6
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2023-03,0,0.0,0.73,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-03,1,0.79,0.53,0.79,72.9
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-03,1,0.62,0.62,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-03,1,0.61,0.61,0.0,100.0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-03,0,0.0,1.11,0.0,100.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-03,1,2.43,4.66,0.0,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-03,0,0.0,2.83,0.0,100.0
port,INMUN,Mundra Port,,,2023-04,10,10.37,9.26,7.06,85.3
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-04,5,4.87,2.99,2.66,86.6
zone,CONTAINER,Container,Container,,2023-04,2,1.93,5.77,0.83,95.4
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-04,3,3.57,0.5,3.56,64.3
terminal,AMC2,AMCT-2,Container,AMC2,2023-04,1,1.1,2.34,0.0,100.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-04,1,0.83,0.94,0.83,83.0
terminal,CT3,CT-3 (AICT),Container,CT3,2023-04,0,0.0,2.49,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-04,2,0.95,0.5,0.95,80.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-04,3,2.05,0.79,2.05,72.9
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-04,1,0.62,0.0,0.62,64.2
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-04,1,2.62,0.0,2.62,48.7
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-04,1,2.2,2.2,0.0,100.0
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-04,1,1.1,2.34,0.0,100.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-04,1,0.83,0.0,0.83,71.2
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-04,0,0.0,0.94,0.0,100.0
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2023-04,0,0.0,0.92,0.0,100.0
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2023-04,0,0.0,1.57,0.0,100.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-04,2,0.95,0.5,0.95,64.9
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-04,1,0.66,0.79,0.66,81.5
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-04,2,1.39,0.0,1.39,50.0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-04,1,0.62,0.0,0.62,64.2
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-04,1,2.62,0.0,2.62,48.7
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-04,1,2.2,2.2,0.0,100.0
port,INMUN,Mundra Port,,,2023-05,13,15.14,10.85,11.35,82.0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-05,7,7.61,5.36,4.91,82.2
zone,CONTAINER,Container,Container,,2023-05,4,3.81,1.92,2.72,87.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-05,2,3.72,3.57,3.71,72.9
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-05,3,2.53,1.92,1.44,80.6
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-05,1,1.27,0.0,1.27,75.9
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-05,1,0.46,0.95,0.46,91.4
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-05,2,0.71,2.5,0.26,96.9
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-05,1,0.57,0.62,0.57,75.2
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-05,1,3.25,2.62,3.25,61.1
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-05,4,6.34,2.24,4.1,75.8
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-05,0,0.0,0.83,0.0,100.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-05,3,2.53,1.09,1.44,68.2
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-05,1,1.27,0.0,1.27,43.3
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-05,1,0.46,0.0,0.44,83.2
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-05,0,0.0,0.95,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-05,0,0.0,0.66,0.0,100.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-05,0,0.0,1.39,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-05,2,0.71,0.45,0.26,86.5
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-05,1,0.57,0.62,0.57,75.2
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-05,1,3.25,2.62,3.25,61.1
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-05,1,2.24,2.24,0.0,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-05,3,4.1,0.0,4.1,55.1
port,INMUN,Mundra Port,,,2023-06,13,14.8,19.08,7.07,90.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-06,6,8.71,8.6,5.02,86.1
zone,CONTAINER,Container,Container,,2023-06,6,5.51,6.77,1.46,94.7
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-06,1,0.58,3.72,0.57,96.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-06,1,0.41,1.44,0.41,94.8
terminal,CT3,CT-3 (AICT),Container,CT3,2023-06,2,1.97,1.97,0.0,100.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-06,1,1.22,2.49,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-06,1,0.58,0.46,0.58,90.2
terminal,MICT,MICT (DP World JV),Container,MICT,2023-06,2,1.9,0.85,1.05,60.1
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-06,1,0.66,0.91,0.01,99.9
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-06,2,1.41,1.12,0.86,76.8
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-06,0,0.0,3.25,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-06,3,6.64,6.56,4.18,82.3
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-06,1,0.41,0.0,0.41,87.5
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-06,0,0.0,1.44,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-06,1,0.84,0.84,0.0,100.0
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2023-06,1,1.13,1.13,0.0,100.0
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-06,1,1.22,1.22,0.0,100.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-06,0,0.0,1.27,0.0,100.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-06,0,0.0,0.46,0.0,100.8
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-06,1,0.58,0.0,0.58,82.4
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2023-06,1,0.85,0.85,0.0,100.0
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2023-06,1,1.05,0.0,1.05,0.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-06,1,0.66,0.66,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-06,0,0.0,0.25,0.01,99.5
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-06,2,1.41,1.12,0.86,76.8
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-06,0,0.0,3.25,0.0,100.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-06,3,6.64,6.56,4.18,73.5
port,INMUN,Mundra Port,,,2023-07,15,12.35,12.14,7.28,91.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-07,6,4.16,7.28,1.9,95.3
zone,CONTAINER,Container,Container,,2023-07,4,3.61,3.38,1.69,94.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-07,5,4.58,1.48,3.67,80.5
terminal,AMC2,AMCT-2,Container,AMC2,2023-07,1,0.87,0.87,0.0,100.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-07,0,0.0,0.41,0.0,100.0
terminal,CT3,CT-3 (AICT),Container,CT3,2023-07,2,1.75,1.05,0.7,89.8
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-07,1,0.99,0.0,0.99,86.8
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-07,4,1.74,1.48,0.84,89.0
terminal,MICT,MICT (DP World JV),Container,MICT,2023-07,0,0.0,1.05,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-07,4,2.59,0.68,1.92,83.3
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-07,1,0.49,1.35,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-07,1,2.83,0.0,2.83,74.7
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-07,1,1.08,5.25,0.01,100.0
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-07,1,0.87,0.87,0.0,100.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-07,0,0.0,0.41,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-07,1,1.05,1.05,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2023-07,1,0.7,0.0,0.7,0.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-07,1,0.99,0.0,0.99,69.3
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-07,1,0.43,0.43,0.0,100.7
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-07,1,0.39,0.0,0.39,0.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-07,2,0.93,1.05,0.46,89.1
berth,MICT-2,MICT-2 — MICT Berth 2,Container,MICT,2023-07,0,0.0,1.05,0.0,100.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-07,1,0.8,0.0,0.8,81.1
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-07,3,1.79,0.68,1.12,69.8
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-07,1,0.49,1.35,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-07,1,2.83,0.0,2.83,74.7
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-07,1,1.08,5.25,0.01,99.9
port,INMUN,Mundra Port,,,2023-08,20,20.95,12.74,15.49,86.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-08,8,4.95,2.92,3.93,91.3
zone,CONTAINER,Container,Container,,2023-08,7,6.55,3.66,4.58,87.8
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-08,5,9.45,6.15,6.97,75.4
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-08,2,1.97,1.97,0.0,100.0
terminal,CT3,CT-3 (AICT),Container,CT3,2023-08,4,3.11,0.7,3.11,68.7
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-08,1,1.48,0.99,1.48,83.5
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-08,2,1.26,0.85,1.25,86.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-08,5,2.6,2.33,2.19,84.5
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-08,1,0.6,0.6,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-08,3,8.19,5.3,5.72,70.5
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-08,2,1.76,0.0,1.77,93.3
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-08,1,0.87,0.87,0.0,100.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-08,1,1.09,1.09,0.0,100.0
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-08,2,1.65,0.0,1.65,53.4
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2023-08,1,0.86,0.7,0.86,44.9
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2023-08,1,0.6,0.0,0.6,81.8
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-08,1,1.48,0.0,1.48,74.2
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-08,0,0.0,0.99,0.0,100.0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-08,1,0.66,0.39,0.66,37.1
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-08,1,0.6,0.46,0.6,87.6
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-08,1,0.42,0.42,0.0,100.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-08,4,2.18,0.8,2.18,66.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-08,0,0.0,1.11,0.01,99.7
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-08,1,0.6,0.6,0.0,100.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-08,3,8.19,5.3,5.72,70.5
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-08,1,0.87,0.0,0.87,90.0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-08,1,0.88,0.0,0.89,95.0
port,INMUN,Mundra Port,,,2023-09,10,12.37,17.66,10.2,91.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-09,4,3.59,4.71,2.81,94.3
zone,CONTAINER,Container,Container,,2023-09,2,1.78,5.54,0.82,97.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-09,4,7.0,7.41,6.56,81.4
terminal,AMC2,AMCT-2,Container,AMC2,2023-09,1,0.83,0.0,0.83,88.1
terminal,CT3,CT-3 (AICT),Container,CT3,2023-09,1,0.95,4.06,0.0,100.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-09,0,0.0,1.48,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-09,2,0.97,1.7,0.52,94.7
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-09,1,0.26,2.45,0.0,100.0
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-09,2,1.38,0.51,0.87,85.9
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-09,2,6.03,5.72,6.03,76.3
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-09,1,1.95,1.76,1.96,93.1
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-09,1,0.83,0.0,0.83,80.6
berth,CT3-2,CT3-2 — CT-3 Berth 2,Container,CT3,2023-09,1,0.95,2.6,0.0,100.0
berth,CT3-3,CT3-3 — CT-3 Berth 3,Container,CT3,2023-09,0,0.0,0.86,0.0,100.0
berth,CT3-4,CT3-4 — CT-3 Berth 4,Container,CT3,2023-09,0,0.0,0.6,0.0,100.0
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-09,0,0.0,1.48,0.0,100.0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-09,1,0.54,0.66,0.54,66.0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-09,1,0.43,1.03,0.0,100.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-09,0,0.0,2.18,0.0,100.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-09,1,0.26,0.26,0.01,99.7
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-09,2,1.38,0.51,0.87,85.9
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-09,2,6.03,5.72,6.03,76.3
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-09,1,1.95,0.87,1.95,81.7
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-09,0,0.0,0.88,0.01,99.9
port,INMUN,Mundra Port,,,2023-10,20,21.9,17.74,14.36,90.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-10,9,9.98,7.08,5.71,90.3
zone,CONTAINER,Container,Container,,2023-10,5,6.28,2.61,4.49,90.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-10,6,5.63,8.05,4.14,89.9
terminal,AMC2,AMCT-2,Container,AMC2,2023-10,2,1.92,0.83,1.92,78.4
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-10,1,1.77,1.77,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-10,5,2.46,2.03,0.95,92.3
terminal,MICT,MICT (DP World JV),Container,MICT,2023-10,2,2.58,0.0,2.58,50.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-10,5,2.43,1.13,1.3,92.3
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-10,0,0.0,0.87,0.0,100.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-10,1,3.18,6.03,3.18,88.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-10,4,7.55,5.08,4.43,87.7
